File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF631PFE	bam	bam		alignments	hg19	ENCSR637EFF	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'dbxrefs': ['FactorBook:CEBPZ'], 'aliases': ['michael-snyder:TS-5'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/10153/'], '@type': ['Target', 'Item'], 'label': 'CEBPZ', 'title': 'CEBPZ (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'e44be7bb-860c-48ab-8026-afce196ec3f5', 'schema_version': '14', 'name': 'CEBPZ-human', '@id': '/targets/CEBPZ-human/', 'status': 'released'}				CEBPZ-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2016-03-17	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1		100					/files/ENCFF776HWW/, /files/ENCFF313ADT/	3140538172	Brenton Graveley, UConn	182d280895bfff141bc1246791baf7ba		https://www.encodeproject.org/files/ENCFF631PFE/@@download/ENCFF631PFE.bam				released	s3://encode-public/2016/03/09/e8063d96-2d6a-4abc-bb3f-90106e9b1305/ENCFF631PFE.bam	Lab custom hg19 V19	released	missing analysis_step_run, missing biosample characterization		
ENCFF825OIW	bam	bam		alignments	hg19	ENCSR637EFF	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'dbxrefs': ['FactorBook:CEBPZ'], 'aliases': ['michael-snyder:TS-5'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/10153/'], '@type': ['Target', 'Item'], 'label': 'CEBPZ', 'title': 'CEBPZ (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'e44be7bb-860c-48ab-8026-afce196ec3f5', 'schema_version': '14', 'name': 'CEBPZ-human', '@id': '/targets/CEBPZ-human/', 'status': 'released'}				CEBPZ-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2016-03-17	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1		100					/files/ENCFF952VZE/, /files/ENCFF926DZS/	3322315584	Brenton Graveley, UConn	79ae5bc2343fad5d2452c0cbf7db89ed		https://www.encodeproject.org/files/ENCFF825OIW/@@download/ENCFF825OIW.bam				released	s3://encode-public/2016/03/09/32f3b386-6e0c-4bf1-9fc9-4b1022a60fc0/ENCFF825OIW.bam	Lab custom hg19 V19	released	missing analysis_step_run, missing biosample characterization		
ENCFF305QET	bam	bam		alignments	GRCh38	ENCSR637EFF	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'dbxrefs': ['FactorBook:CEBPZ'], 'aliases': ['michael-snyder:TS-5'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/10153/'], '@type': ['Target', 'Item'], 'label': 'CEBPZ', 'title': 'CEBPZ (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'e44be7bb-860c-48ab-8026-afce196ec3f5', 'schema_version': '14', 'name': 'CEBPZ-human', '@id': '/targets/CEBPZ-human/', 'status': 'released'}				CEBPZ-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2016-03-17	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1		100					/files/ENCFF776HWW/, /files/ENCFF751OWT/, /files/ENCFF313ADT/	3198082693	ENCODE Processing Pipeline	8b4bb2b908fa26c5638025697ed1757f		https://www.encodeproject.org/files/ENCFF305QET/@@download/ENCFF305QET.bam	V24			released	s3://encode-public/2016/03/14/d984d231-aa4a-4532-bdd3-945c28f02e17/ENCFF305QET.bam	ENCODE3 GRCh38 V24	released	missing biosample characterization		
ENCFF232GDT	bam	bam		alignments	GRCh38	ENCSR637EFF	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'dbxrefs': ['FactorBook:CEBPZ'], 'aliases': ['michael-snyder:TS-5'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/10153/'], '@type': ['Target', 'Item'], 'label': 'CEBPZ', 'title': 'CEBPZ (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'e44be7bb-860c-48ab-8026-afce196ec3f5', 'schema_version': '14', 'name': 'CEBPZ-human', '@id': '/targets/CEBPZ-human/', 'status': 'released'}				CEBPZ-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2016-03-17	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1		100					/files/ENCFF952VZE/, /files/ENCFF751OWT/, /files/ENCFF926DZS/	3382480068	ENCODE Processing Pipeline	2983b7a36794fd9fe6147fc4ae1c68c7		https://www.encodeproject.org/files/ENCFF232GDT/@@download/ENCFF232GDT.bam	V24			released	s3://encode-public/2016/03/14/a4521d7f-ec6f-43f1-a1af-353f3d88882c/ENCFF232GDT.bam	ENCODE3 GRCh38 V24	released	missing biosample characterization		
ENCFF254USK	bam	bam		transcriptome alignments	GRCh38	ENCSR637EFF	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'dbxrefs': ['FactorBook:CEBPZ'], 'aliases': ['michael-snyder:TS-5'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/10153/'], '@type': ['Target', 'Item'], 'label': 'CEBPZ', 'title': 'CEBPZ (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'e44be7bb-860c-48ab-8026-afce196ec3f5', 'schema_version': '14', 'name': 'CEBPZ-human', '@id': '/targets/CEBPZ-human/', 'status': 'released'}				CEBPZ-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2016-03-17	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1		100					/files/ENCFF313ADT/, /files/ENCFF776HWW/, /files/ENCFF742NER/	4752174194	ENCODE Processing Pipeline	f9fbe4fa56bd84641f798f706761e49e		https://www.encodeproject.org/files/ENCFF254USK/@@download/ENCFF254USK.bam	V24			released	s3://encode-public/2016/03/14/9c956561-c723-4191-b1ff-9f24312c7159/ENCFF254USK.bam	ENCODE3 GRCh38 V24	released	missing biosample characterization		
ENCFF598STL	bam	bam		alignments	GRCh38	ENCSR637EFF	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'dbxrefs': ['FactorBook:CEBPZ'], 'aliases': ['michael-snyder:TS-5'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/10153/'], '@type': ['Target', 'Item'], 'label': 'CEBPZ', 'title': 'CEBPZ (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'e44be7bb-860c-48ab-8026-afce196ec3f5', 'schema_version': '14', 'name': 'CEBPZ-human', '@id': '/targets/CEBPZ-human/', 'status': 'released'}				CEBPZ-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2016-03-17	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1		100					/files/ENCFF313ADT/, /files/ENCFF776HWW/, /files/ENCFF742NER/	3972313041	ENCODE Processing Pipeline	ec1a51064d464fcb94c91cd536422b45		https://www.encodeproject.org/files/ENCFF598STL/@@download/ENCFF598STL.bam	V24			released	s3://encode-public/2016/03/14/087cd419-436b-4ae4-926d-d7cb5cbca9e6/ENCFF598STL.bam	ENCODE3 GRCh38 V24	released	missing biosample characterization		
ENCFF191LQC	bam	bam		alignments	GRCh38	ENCSR637EFF	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'dbxrefs': ['FactorBook:CEBPZ'], 'aliases': ['michael-snyder:TS-5'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/10153/'], '@type': ['Target', 'Item'], 'label': 'CEBPZ', 'title': 'CEBPZ (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'e44be7bb-860c-48ab-8026-afce196ec3f5', 'schema_version': '14', 'name': 'CEBPZ-human', '@id': '/targets/CEBPZ-human/', 'status': 'released'}				CEBPZ-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2016-03-17	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1		100					/files/ENCFF926DZS/, /files/ENCFF952VZE/, /files/ENCFF742NER/	4215368146	ENCODE Processing Pipeline	aba320ce6fdcc93c4a6d4c161ddc950e		https://www.encodeproject.org/files/ENCFF191LQC/@@download/ENCFF191LQC.bam	V24			released	s3://encode-public/2016/03/14/bb7fa245-2747-408b-bc36-0dcaac8f180f/ENCFF191LQC.bam	ENCODE3 GRCh38 V24	released	missing biosample characterization		
ENCFF399EQC	bam	bam		transcriptome alignments	GRCh38	ENCSR637EFF	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'dbxrefs': ['FactorBook:CEBPZ'], 'aliases': ['michael-snyder:TS-5'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/10153/'], '@type': ['Target', 'Item'], 'label': 'CEBPZ', 'title': 'CEBPZ (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'e44be7bb-860c-48ab-8026-afce196ec3f5', 'schema_version': '14', 'name': 'CEBPZ-human', '@id': '/targets/CEBPZ-human/', 'status': 'released'}				CEBPZ-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2016-03-17	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1		100					/files/ENCFF926DZS/, /files/ENCFF952VZE/, /files/ENCFF742NER/	5071846486	ENCODE Processing Pipeline	3a055b9ddf706cb8698feb60e62cc83e		https://www.encodeproject.org/files/ENCFF399EQC/@@download/ENCFF399EQC.bam	V24			released	s3://encode-public/2016/03/14/4284069a-81b1-4b84-a666-727758897d92/ENCFF399EQC.bam	ENCODE3 GRCh38 V24	released	missing biosample characterization		
ENCFF513ATI	bam	bam		alignments	hg19	ENCSR637EFF	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'dbxrefs': ['FactorBook:CEBPZ'], 'aliases': ['michael-snyder:TS-5'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/10153/'], '@type': ['Target', 'Item'], 'label': 'CEBPZ', 'title': 'CEBPZ (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'e44be7bb-860c-48ab-8026-afce196ec3f5', 'schema_version': '14', 'name': 'CEBPZ-human', '@id': '/targets/CEBPZ-human/', 'status': 'released'}				CEBPZ-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2016-03-17	ENCODE		chemical (Illumina TruSeq)	>200	1	1_1		100					/files/ENCFF776HWW/, /files/ENCFF700TXC/, /files/ENCFF313ADT/	3142844149	ENCODE Processing Pipeline	084665ec9f64b96c140abee2383033b5		https://www.encodeproject.org/files/ENCFF513ATI/@@download/ENCFF513ATI.bam	V19			released	s3://encode-public/2016/06/08/3633bbf1-8e76-4a8a-84af-5e492be01f31/ENCFF513ATI.bam	ENCODE3 hg19 V19	released	missing biosample characterization		
ENCFF549MLY	bam	bam		alignments	hg19	ENCSR637EFF	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'dbxrefs': ['FactorBook:CEBPZ'], 'aliases': ['michael-snyder:TS-5'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/10153/'], '@type': ['Target', 'Item'], 'label': 'CEBPZ', 'title': 'CEBPZ (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'e44be7bb-860c-48ab-8026-afce196ec3f5', 'schema_version': '14', 'name': 'CEBPZ-human', '@id': '/targets/CEBPZ-human/', 'status': 'released'}				CEBPZ-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2016-03-17	ENCODE		chemical (Illumina TruSeq)	>200	2	2_1		100					/files/ENCFF952VZE/, /files/ENCFF700TXC/, /files/ENCFF926DZS/	3320705781	ENCODE Processing Pipeline	d27568c503e8f47a438aec33305bafca		https://www.encodeproject.org/files/ENCFF549MLY/@@download/ENCFF549MLY.bam	V19			released	s3://encode-public/2016/06/08/7ba4a09a-61a1-4ff9-b453-15c571ae4072/ENCFF549MLY.bam	ENCODE3 hg19 V19	released	missing biosample characterization		
