2021-10-11 22:44:05.902532	https://www.encodeproject.org/report/?type=Experiment&status=released&assay_title=CRISPR+RNA-seq&assay_title=CRISPRi+RNA-seq&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&files.file_type=bam&field=accession&field=assay_title&field=target.label&field=target.genes.symbol&field=biosample_summary&field=biosample_ontology.term_name&field=dbxrefs&field=description&field=lab.title&field=award.project&field=replicates.library.biosample.accession&field=replicates.biological_replicate_number&field=replicates.technical_replicate_number&field=replicates.library.biosample.organism.scientific_name&field=possible_controls&field=perturbed&limit=all
Accession	Assay title	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Biosample accession	Biological replicate	Technical replicate	Organism	Controls	Perturbed
ENCSR466TGH	CRISPR RNA-seq	DGCR8	DGCR8	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens DGCR8	K562	GEO:GSE177339	RNA-seq on K562 cells treated with a CRISPR gRNA against DGCR8 on day 22. (DGCR8-D22_BGKcLV02)	Brenton Graveley, UConn	ENCODE	ENCBS626TPH,ENCBS732IZQ	1,2	1	Homo sapiens	/experiments/ENCSR599PZD/	True
ENCSR828YEB	CRISPR RNA-seq			Homo sapiens K562 genetically modified (deletion) using CRISPR	K562	GEO:GSE177876	Control CRISPR gRNA against no target in K562 cells followed by RNA-seq. (NT_BGKcLV04)	Brenton Graveley, UConn	ENCODE	ENCBS981XHM,ENCBS906RHA	1,2	1	Homo sapiens		False
ENCSR619GGE	CRISPR RNA-seq	FUBP3	FUBP3	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens FUBP3	K562	GEO:GSE177580	RNA-seq on K562 cells treated with a CRISPR gRNA against FUBP3. (FUBP3-BGKcLV08)	Brenton Graveley, UConn	ENCODE	ENCBS767AXM,ENCBS251CZU	1,2	1	Homo sapiens	/experiments/ENCSR015KGT/	True
ENCSR354DVY	CRISPR RNA-seq	CDC40	CDC40	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens CDC40	K562	GEO:GSE177247	RNA-seq on K562 cells treated with a CRISPR gRNA against CDC40. (CDC40-BGKcLV08)	Brenton Graveley, UConn	ENCODE	ENCBS194YRU,ENCBS050VON	2,1	1	Homo sapiens	/experiments/ENCSR015KGT/	True
ENCSR015KGT	CRISPR RNA-seq			Homo sapiens K562 genetically modified (deletion) using CRISPR	K562	GEO:GSE176652	Control CRISPR gRNA against no target in K562 cells followed by RNA-seq. (NT-BGKcLV08)	Brenton Graveley, UConn	ENCODE	ENCBS671ALY,ENCBS727VBW	1,2	1	Homo sapiens		False
ENCSR666QJU	CRISPR RNA-seq	AGGF1	AGGF1	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens AGGF1	HepG2	GEO:GSE177722	RNA-seq on HepG2 cells treated with a CRISPR gRNA against AGGF1. (AGGF1-BGHcLV05-D)	Brenton Graveley, UConn	ENCODE	ENCBS048KGW,ENCBS010LBN	1,2	1	Homo sapiens	/experiments/ENCSR805TIZ/	True
ENCSR066ZMF	CRISPR RNA-seq	ETF1	ETF1	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens ETF1	K562	GEO:GSE176842	RNA-seq on K562 cells treated with a CRISPR gRNA against ETF1. (ETF1-BGKcLV08)	Brenton Graveley, UConn	ENCODE	ENCBS164XZU,ENCBS355TWU	1,2	1	Homo sapiens	/experiments/ENCSR015KGT/	True
ENCSR867XAL	CRISPR RNA-seq	DDX20	DDX20	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens DDX20	K562	GEO:GSE177993	RNA-seq on K562 cells treated with a CRISPR gRNA against DDX20. (DDX20-BGKcLV08)	Brenton Graveley, UConn	ENCODE	ENCBS903RSI,ENCBS314VQF	1,2	1	Homo sapiens	/experiments/ENCSR015KGT/	True
ENCSR636DVA	CRISPR RNA-seq	ZNF106	ZNF106	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens ZNF106	HepG2	GEO:GSE177631	RNA-seq on HepG2 cells treated with a CRISPR gRNA against ZFP106. (ZFP106-BGHcLV10)	Brenton Graveley, UConn	ENCODE	ENCBS611UOT,ENCBS542LFH	1,2	1	Homo sapiens	/experiments/ENCSR775ZWO/	True
ENCSR268XHM	CRISPR RNA-seq	IGF2BP1	IGF2BP1	Homo sapiens HepG2 genetically modified (deletion) using CRISPR targeting H. sapiens IGF2BP1	HepG2	RBPImage:IGF2BP1,GEO:GSE176947	RNA-seq on HepG2 cells treated with a CRISPR gRNA against IGF2BP1. (IGF2BP1_BGHcLV03)	Brenton Graveley, UConn	ENCODE	ENCBS038ZQB,ENCBS060DQW	2,1	1	Homo sapiens	/experiments/ENCSR105NML/	True
ENCSR384LKC	CRISPR RNA-seq	DDX21	DDX21	Homo sapiens K562 genetically modified (deletion) using CRISPR targeting H. sapiens DDX21	K562	GEO:GSE177421	RNA-seq on K562 cells treated with a CRISPR gRNA against DDX21. (DDX21_BGKcLV02)	Brenton Graveley, UConn	ENCODE	ENCBS177LGN,ENCBS549CBF	2,1	1	Homo sapiens	/experiments/ENCSR163JUC/	True
ENCSR862UHT	CRISPRi RNA-seq	DLX1	DLX1	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens DLX1	K562	GEO:GSE127163	RNA-seq on K562 cells treated by CRISPR interference targeting DLX1.	Michael Snyder, Stanford	ENCODE	ENCBS221RMF,ENCBS050OIR	1,2	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR039VEQ	CRISPRi RNA-seq	NONO	NONO	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens NONO	K562	GEO:GSE127068	RNA-seq on K562 cells treated by CRISPR interference targeting NONO.	Michael Snyder, Stanford	ENCODE	ENCBS503KIX,ENCBS934LFJ,ENCBS998IDD	1,3,4	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR942XXL	CRISPRi RNA-seq	HMBOX1	HMBOX1	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens HMBOX1	K562	GEO:GSE127169	RNA-seq on K562 cells treated by CRISPR interference targeting HMBOX1.	Michael Snyder, Stanford	ENCODE	ENCBS386AVE,ENCBS436WCF	1,2	1	Homo sapiens	/experiments/ENCSR016WFQ/	True
ENCSR599PZD	CRISPR RNA-seq			Homo sapiens K562 genetically modified (deletion) using CRISPR	K562	GEO:GSE177474	Control CRISPR gRNA against no target in K562 cells followed by RNA-seq on day 22. (NT-D22_BGKcLV02)	Brenton Graveley, UConn	ENCODE	ENCBS344ZTN,ENCBS489PTQ	1,2	1	Homo sapiens		False
ENCSR399QAP	CRISPRi RNA-seq	TLE2	TLE2	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens TLE2	K562	GEO:GSE127123	RNA-seq on K562 cells treated by CRISPR interference targeting TLE2.	Michael Snyder, Stanford	ENCODE	ENCBS418CDR,ENCBS736DGC	1,2	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR299HUJ	CRISPRi RNA-seq	NRF1	NRF1	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens NRF1	K562	GEO:GSE127109	RNA-seq on K562 cells treated by CRISPR interference targeting NRF1.	Michael Snyder, Stanford	ENCODE	ENCBS118LXR,ENCBS631OMB,ENCBS557XQF	1,3,4	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR123IMQ	CRISPRi RNA-seq	ATF3	ATF3	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens ATF3	K562	GEO:GSE127088	RNA-seq on K562 cells treated by CRISPR interference targeting ATF3.	Michael Snyder, Stanford	ENCODE	ENCBS502YUG,ENCBS919KGG	1,2	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR591QYK	CRISPRi RNA-seq	TRIM28	TRIM28	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens TRIM28	K562	GEO:GSE127130	RNA-seq on K562 cells treated by CRISPR interference targeting TRIM28.	Michael Snyder, Stanford	ENCODE	ENCBS180EYO,ENCBS342LZY	1,2	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR103URL	CRISPRi RNA-seq	ZNF384	ZNF384	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens ZNF384	K562	GEO:GSE127085	RNA-seq on K562 cells treated by CRISPR interference targeting ZNF384.	Michael Snyder, Stanford	ENCODE	ENCBS603QVT,ENCBS797AKK	1,2	1	Homo sapiens	/experiments/ENCSR016WFQ/	True
ENCSR773VKE	CRISPRi RNA-seq	FOXK2	FOXK2	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens FOXK2	K562	GEO:GSE127153	RNA-seq on K562 cells treated by CRISPR interference targeting FOXK2.	Michael Snyder, Stanford	ENCODE	ENCBS840OGS,ENCBS374CJP	1,2	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR359VJC	CRISPRi RNA-seq	HOXB4	HOXB4	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens HOXB4	K562	GEO:GSE127112	RNA-seq on K562 cells treated by CRISPR interference targeting HOXB4.	Michael Snyder, Stanford	ENCODE	ENCBS195REE,ENCBS999ADL	1,2	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR024HAR	CRISPRi RNA-seq	STAT6	STAT6	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens STAT6	K562	GEO:GSE127065	RNA-seq on K562 cells treated by CRISPR interference targeting STAT6.	Michael Snyder, Stanford	ENCODE	ENCBS407GFZ,ENCBS851CQU	1,2	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR126GEQ	CRISPRi RNA-seq	SMARCA4	SMARCA4	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens SMARCA4	K562	GEO:GSE127089	RNA-seq on K562 cells treated by CRISPR interference targeting SMARCA4.	Michael Snyder, Stanford	ENCODE	ENCBS004VDW,ENCBS916GJM	1,2	1	Homo sapiens	/experiments/ENCSR095PIC/	True
ENCSR608ORR	CRISPRi RNA-seq	UBTF	UBTF	Homo sapiens K562 genetically modified (interference) using CRISPR targeting H. sapiens UBTF	K562	GEO:GSE127131	RNA-seq on K562 cells treated by CRISPR interference targeting UBTF.	Michael Snyder, Stanford	ENCODE	ENCBS898GYH,ENCBS938ECK	1,2	1	Homo sapiens	/experiments/ENCSR016WFQ/	True
