"","g1","g2"
"1","ENSG00000187634.11","ENSG00000188976.10"
"2","ENSG00000187583.10","ENSG00000187642.9"
"3","ENSG00000187642.9","ENSG00000188290.10"
"4","ENSG00000187608.8","ENSG00000188157.14"
"5","ENSG00000188157.14","ENSG00000237330.2"
"6","ENSG00000237330.2","ENSG00000131591.17"
"7","ENSG00000131591.17","ENSG00000162571.13"
"8","ENSG00000162571.13","ENSG00000186891.13"
"9","ENSG00000186827.10","ENSG00000078808.16"
"10","ENSG00000176022.4","ENSG00000184163.3"
"11","ENSG00000184163.3","ENSG00000160087.20"
"12","ENSG00000162572.20","ENSG00000131584.18"
"13","ENSG00000169972.11","ENSG00000127054.20"
"14","ENSG00000169962.4","ENSG00000107404.19"
"15","ENSG00000107404.19","ENSG00000162576.16"
"16","ENSG00000162576.16","ENSG00000175756.13"
"17","ENSG00000175756.13","ENSG00000221978.11"
"18","ENSG00000242485.5","ENSG00000235098.8"
"19","ENSG00000179403.11","ENSG00000215915.9"
"20","ENSG00000215915.9","ENSG00000160072.19"
"21","ENSG00000160072.19","ENSG00000197785.13"
"22","ENSG00000197785.13","ENSG00000205090.8"
"23","ENSG00000205090.8","ENSG00000160075.11"
"24","ENSG00000160075.11","ENSG00000228594.3"
"25","ENSG00000228594.3","ENSG00000197530.12"
"26","ENSG00000197530.12","ENSG00000189409.13"
"27","ENSG00000189409.13","ENSG00000248333.8"
"28","ENSG00000248333.8","ENSG00000189339.11"
"29","ENSG00000189339.11","ENSG00000008128.22"
"30","ENSG00000008128.22","ENSG00000215790.6"
"31","ENSG00000215790.6","ENSG00000008130.15"
"32","ENSG00000008130.15","ENSG00000078369.17"
"33","ENSG00000078369.17","ENSG00000169885.9"
"34","ENSG00000178821.12","ENSG00000142609.17"
"35","ENSG00000142609.17","ENSG00000187730.8"
"36","ENSG00000187730.8","ENSG00000067606.16"
"37","ENSG00000067606.16","ENSG00000162585.16"
"38","ENSG00000162585.16","ENSG00000157933.9"
"39","ENSG00000157933.9","ENSG00000116151.13"
"40","ENSG00000157916.19","ENSG00000157911.9"
"41","ENSG00000157911.9","ENSG00000149527.17"
"42","ENSG00000149527.17","ENSG00000157881.13"
"43","ENSG00000197921.5","ENSG00000157873.17"
"44","ENSG00000157873.17","ENSG00000157870.14"
"45","ENSG00000157870.14","ENSG00000142606.15"
"46","ENSG00000142606.15","ENSG00000215912.12"
"47","ENSG00000169717.6","ENSG00000142611.16"
"48","ENSG00000130762.14","ENSG00000162591.15"
"49","ENSG00000162591.15","ENSG00000158109.14"
"50","ENSG00000158109.14","ENSG00000116213.15"
"51","ENSG00000078900.14","ENSG00000162592.9"
"52","ENSG00000162592.9","ENSG00000235169.7"
"53","ENSG00000235169.7","ENSG00000130764.9"
"54","ENSG00000130764.9","ENSG00000116198.12"
"55","ENSG00000169598.15","ENSG00000198912.10"
"56","ENSG00000069424.14","ENSG00000116254.17"
"57","ENSG00000116254.17","ENSG00000116251.9"
"58","ENSG00000158286.12","ENSG00000116237.15"
"59","ENSG00000173673.7","ENSG00000158292.6"
"60","ENSG00000158292.6","ENSG00000097021.19"
"61","ENSG00000097021.19","ENSG00000069812.11"
"62","ENSG00000187017.15","ENSG00000215788.9"
"63","ENSG00000215788.9","ENSG00000171680.21"
"64","ENSG00000171680.21","ENSG00000162408.10"
"65","ENSG00000173662.20","ENSG00000204859.12"
"66","ENSG00000204859.12","ENSG00000162413.16"
"67","ENSG00000116273.5","ENSG00000041988.15"
"68","ENSG00000041988.15","ENSG00000007923.15"
"69","ENSG00000007923.15","ENSG00000171735.18"
"70","ENSG00000049245.12","ENSG00000049246.14"
"71","ENSG00000049246.14","ENSG00000049247.13"
"72","ENSG00000049247.13","ENSG00000049249.8"
"73","ENSG00000049249.8","ENSG00000116288.12"
"74","ENSG00000116288.12","ENSG00000116285.12"
"75","ENSG00000142599.17","ENSG00000074800.13"
"76","ENSG00000074800.13","ENSG00000131686.14"
"77","ENSG00000131686.14","ENSG00000197241.3"
"78","ENSG00000197241.3","ENSG00000142583.17"
"79","ENSG00000142583.17","ENSG00000180758.11"
"80","ENSG00000180758.11","ENSG00000049239.12"
"81","ENSG00000049239.12","ENSG00000171621.13"
"82","ENSG00000171612.6","ENSG00000188807.12"
"83","ENSG00000188807.12","ENSG00000171608.15"
"84","ENSG00000171608.15","ENSG00000171603.16"
"85","ENSG00000171603.16","ENSG00000178585.14"
"86","ENSG00000178585.14","ENSG00000162441.11"
"87","ENSG00000173614.13","ENSG00000162444.11"
"88","ENSG00000162444.11","ENSG00000130939.18"
"89","ENSG00000130939.18","ENSG00000054523.17"
"90","ENSG00000054523.17","ENSG00000142657.20"
"91","ENSG00000142657.20","ENSG00000175279.21"
"92","ENSG00000175279.21","ENSG00000241563.3"
"93","ENSG00000241563.3","ENSG00000160049.11"
"94","ENSG00000130940.14","ENSG00000175262.14"
"95","ENSG00000175262.14","ENSG00000120948.16"
"96","ENSG00000120948.16","ENSG00000009724.16"
"97","ENSG00000009724.16","ENSG00000116649.9"
"98","ENSG00000116649.9","ENSG00000171824.13"
"99","ENSG00000171824.13","ENSG00000198793.12"
"100","ENSG00000198793.12","ENSG00000171819.4"
"101","ENSG00000171819.4","ENSG00000120942.13"
"102","ENSG00000204624.7","ENSG00000116661.9"
"103","ENSG00000116663.10","ENSG00000116670.14"
"104","ENSG00000162490.6","ENSG00000177674.15"
"105","ENSG00000177674.15","ENSG00000215910.7"
"106","ENSG00000215910.7","ENSG00000177000.10"
"107","ENSG00000011021.21","ENSG00000175206.10"
"108","ENSG00000175206.10","ENSG00000120937.8"
"109","ENSG00000120937.8","ENSG00000116685.15"
"110","ENSG00000083444.16","ENSG00000116688.16"
"111","ENSG00000116688.16","ENSG00000116691.10"
"112","ENSG00000116691.10","ENSG00000120949.14"
"113","ENSG00000120949.14","ENSG00000028137.18"
"114","ENSG00000028137.18","ENSG00000048707.13"
"115","ENSG00000162496.8","ENSG00000204518.2"
"116","ENSG00000204518.2","ENSG00000188984.11"
"117","ENSG00000188984.11","ENSG00000157330.9"
"118","ENSG00000157330.9","ENSG00000116726.4"
"119","ENSG00000116726.4","ENSG00000116721.9"
"120","ENSG00000116721.9","ENSG00000239810.3"
"121","ENSG00000239810.3","ENSG00000179172.9"
"122","ENSG00000120952.4","ENSG00000243073.3"
"123","ENSG00000243073.3","ENSG00000187545.5"
"124","ENSG00000187545.5","ENSG00000204510.5"
"125","ENSG00000204510.5","ENSG00000232423.6"
"126","ENSG00000232423.6","ENSG00000274764.5"
"127","ENSG00000229571.7","ENSG00000275774.2"
"128","ENSG00000275774.2","ENSG00000280267.4"
"129","ENSG00000204505.4","ENSG00000279169.2"
"130","ENSG00000279169.2","ENSG00000279804.2"
"131","ENSG00000279804.2","ENSG00000270601.4"
"132","ENSG00000270601.4","ENSG00000182330.10"
"133","ENSG00000182330.10","ENSG00000237700.2"
"134","ENSG00000237700.2","ENSG00000204501.7"
"135","ENSG00000204501.7","ENSG00000204481.7"
"136","ENSG00000204481.7","ENSG00000204480.7"
"137","ENSG00000204480.7","ENSG00000204479.4"
"138","ENSG00000204479.4","ENSG00000204478.9"
"139","ENSG00000204478.9","ENSG00000162494.5"
"140","ENSG00000162494.5","ENSG00000162493.16"
"141","ENSG00000162493.16","ENSG00000116731.22"
"142","ENSG00000116731.22","ENSG00000189337.16"
"143","ENSG00000171729.13","ENSG00000142621.19"
"144","ENSG00000142621.19","ENSG00000142634.12"
"145","ENSG00000142634.12","ENSG00000162438.11"
"146","ENSG00000162438.11","ENSG00000142615.7"
"147","ENSG00000215704.9","ENSG00000132906.17"
"148","ENSG00000116138.12","ENSG00000116771.5"
"149","ENSG00000116771.5","ENSG00000197312.11"
"150","ENSG00000197312.11","ENSG00000116786.11"
"151","ENSG00000116786.11","ENSG00000162461.7"
"152","ENSG00000162460.6","ENSG00000162458.12"
